,0,1,2,3,4,5,6,7
2020-09-29,0.0,0.0,0.0,0.0,0.4361698148897476,0.0,0.5638301851102525,0.0
2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-10-02,0.0,0.8549001079856325,0.0,0.0,0.14509989201436743,0.0,0.0,0.0
2020-10-03,0.0,0.0,0.12466772292707963,0.0,0.0,0.0,0.8753322770729204,0.0
2020-10-04,0.0,0.4383897892690482,0.0,0.0,0.0,0.5616102107309519,0.0,0.0
2020-10-05,0.0,0.0,0.7303024751849497,0.0,0.0,0.050871311649539896,0.21882621316551043,0.0
2020-10-06,0.0,0.35431296040573385,0.0,0.0,0.0,0.6456870395942661,0.0,0.0
2020-10-07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-10-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-10-09,0.0,0.0,0.481491734913252,0.0,0.0,0.5185082650867481,0.0,0.0
2020-10-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,0.8270276904671555,0.0,0.0,0.0,0.1729723095328445,0.0,0.0,0.0
2020-10-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-10-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-10-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-17,0.950957983207941,0.0,0.0,0.0,0.0,0.0,0.049042016792058975,0.0
2020-10-18,0.0,0.0,0.0,0.0,0.284400495563557,0.0,0.715599504436443,0.0
2020-10-19,0.7580298563495708,0.2419701436504292,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-10-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-22,0.9323085250445845,0.0,0.0,0.0,0.0,0.06769147495541557,0.0,0.0
2020-10-23,0.8879065020490146,0.0,0.0,0.1120934979509854,0.0,0.0,0.0,0.0
2020-10-24,0.0,0.9363370625406066,0.0,0.0,0.0636629374593935,0.0,0.0,0.0
2020-10-25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-10-26,0.9264361495711018,0.07356385042889824,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-27,0.744174820802874,0.0,0.0,0.0,0.16948920317803218,0.0,0.08633597601909383,0.0
2020-10-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-29,0.7228521754461859,0.0,0.0,0.0,0.0,0.2771478245538141,0.0,0.0
2020-10-30,0.0,0.0,0.8530959282773709,0.0,0.0,0.14690407172262904,0.0,0.0
2020-10-31,0.0,0.8723303184277266,0.0,0.0,0.0,0.0,0.12766968157227343,0.0
2020-11-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
